cement,slag,silica_fume,limestone_powder,quartz_powder,fly_ash,nano_silica,aggregate,water,fiber,superplasticizer,temperature,age
680.0,0.0,120.0,0.0,0.0,0.0,0.0,1502.8,144.0,0.0,9.59,23,7
788.5,0.0,433.7,0.0,0.0,0.0,0.0,867.4,160.3,117.0,52.6,23,28
800.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.3,160.0,0.0,21.6,23,56
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
472.0,315.0,262.0,0.0,0.0,0.0,0.0,1049.0,178.0,156.0,21.0,23,28
845.5,0.0,44.5,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,7
863.2,0.0,215.8,0.0,0.0,0.0,0.0,1079.0,177.0,0.0,21.6,20,1
784.0,0.0,261.0,0.0,0.0,0.0,0.0,1045.0,171.0,234.0,20.9,20,28
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
417.5,0.0,0.0,263.7,175.9,0.0,22.0,1273.4,175.8,0.0,43.9,21,3
932.0,0.0,255.0,0.0,0.0,0.0,19.0,873.0,189.0,0.0,31.0,23,90
784.0,0.0,157.0,235.0,0.0,0.0,0.0,823.0,171.0,0.0,39.66,23,90
960.0,0.0,240.0,0.0,0.0,0.0,0.0,720.7,234.0,117.0,57.0,23,28
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
417.5,0.0,0.0,263.7,175.9,0.0,22.0,1273.4,175.8,195.0,43.9,21,7
788.5,0.0,197.1,0.0,0.0,0.0,0.0,1104.0,160.3,156.0,50.0,23,28
545.875,0.0,0.0,0.0,0.0,0.0,4.125,1754.0,165.0,0.0,6.6,21,90
863.2,0.0,215.8,0.0,0.0,0.0,0.0,1079.0,177.0,0.0,21.6,20,7
845.5,0.0,44.5,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,7
675.0,75.0,144.0,0.0,0.0,200.0,0.0,990.0,182.0,0.0,38.0,20,3
960.0,0.0,240.0,0.0,0.0,0.0,0.0,773.8,234.0,58.5,45.0,23,180
594.2,0.0,0.0,265.3,0.0,0.0,24.8,1282.3,176.9,156.0,44.2,21,7
450.0,300.0,144.0,0.0,0.0,200.0,0.0,990.0,182.0,0.0,34.0,20,3
712.0,0.0,0.0,0.0,0.0,178.0,0.0,1231.0,178.0,0.0,30.2,21,28
712.0,0.0,80.0,0.0,0.0,0.0,8.0,1400.3,160.0,0.0,37.6,23,56
630.0,180.0,90.0,0.0,0.0,0.0,0.0,1539.0,162.0,0.0,18.0,20,56
960.0,0.0,240.0,0.0,0.0,0.0,0.0,786.4,234.0,19.5,45.0,23,28
704.0,0.0,80.0,0.0,0.0,0.0,16.0,1379.8,160.0,0.0,44.8,23,7
850.0,0.0,150.0,0.0,0.0,0.0,0.0,1181.5,200.0,0.0,10.03,23,7
630.0,180.0,90.0,0.0,0.0,0.0,0.0,1539.0,144.0,0.0,18.0,20,180
874.9,0.0,43.7,0.0,0.0,0.0,0.0,1273.4,202.1,117.0,45.9,21,7
699.9,0.0,43.7,0.0,175.0,0.0,0.0,1273.4,202.1,156.0,45.9,21,7
704.0,0.0,80.0,0.0,0.0,0.0,16.0,1379.8,160.0,0.0,44.8,23,14
863.0,0.0,216.0,0.0,0.0,0.0,0.0,923.0,177.0,0.0,32.37,20,28
630.0,0.0,220.0,0.0,0.0,270.0,0.0,994.0,163.0,156.0,40.0,23,7
545.875,0.0,0.0,0.0,0.0,0.0,4.125,1685.0,192.5,0.0,4.4,21,7
435.1,0.0,0.0,263.7,175.9,0.0,4.4,1273.4,175.8,0.0,43.9,21,28
960.0,0.0,240.0,0.0,0.0,0.0,0.0,780.5,234.0,39.0,45.0,23,180
472.0,315.0,262.0,0.0,0.0,0.0,0.0,1049.0,178.0,156.0,21.0,20,28
720.0,0.0,80.0,0.0,0.0,0.0,0.0,1422.9,160.0,0.0,29.6,23,3
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
675.0,75.0,144.0,0.0,0.0,200.0,0.0,990.0,182.0,0.0,38.0,20,7
741.0,0.0,185.0,194.25,64.75,0.0,0.0,815.0,185.0,156.0,9.0,30,3
858.0,0.0,216.0,0.0,0.0,0.0,5.4,1079.0,177.0,0.0,21.6,23,3
960.0,0.0,240.0,0.0,0.0,0.0,0.0,779.2,234.0,39.0,45.0,23,90
720.0,0.0,180.0,0.0,0.0,0.0,0.0,1303.2,180.0,0.0,10.8,23,7
950.0,0.0,200.0,0.0,350.0,0.0,0.0,690.0,230.0,234.0,53.0,20,28
430.7,0.0,0.0,263.7,175.9,0.0,8.8,1273.4,175.8,195.0,43.9,21,7
863.0,0.0,216.0,0.0,0.0,0.0,0.0,1079.0,177.0,0.0,21.6,23,1
699.9,0.0,43.7,0.0,175.0,0.0,0.0,1273.4,202.1,195.0,45.9,21,28
960.0,0.0,240.0,0.0,0.0,0.0,0.0,767.2,234.0,78.0,45.0,23,7
960.0,0.0,240.0,0.0,0.0,0.0,0.0,720.7,234.0,117.0,57.0,23,90
545.875,0.0,0.0,0.0,0.0,0.0,4.125,1820.0,137.5,0.0,9.9,21,90
594.2,0.0,0.0,265.3,0.0,0.0,24.8,1282.3,176.9,156.0,44.2,21,28
921.5,0.0,255.0,0.0,0.0,0.0,28.5,873.0,189.0,0.0,31.0,23,7
435.1,0.0,0.0,263.7,175.9,0.0,4.4,1273.4,175.8,195.0,43.9,21,28
